entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-03-26,2024-03-26,000049,23.41,24.22,3.44,3.24,58.44549940928457,"{'trend': 0.6484328051743001, 'momentum': 0.20075551227179464, 'quality': -0.22698420046109002, 'sentiment': 1.8757627581096845, 'valuation': 1.1112226590981773, 'liquidity': -0.6834146126472195, 'size': 0.6224143989590346}",T+1平仓,其他,1
2024-03-27,2024-03-27,000027,6.98,6.77,-2.88,-3.08,56.98981069216745,"{'trend': 0.49932285987192804, 'momentum': 0.9631185541870163, 'quality': -0.2229907883201243, 'sentiment': 0.8789844852198145, 'valuation': 1.0618628520843985, 'liquidity': -0.9779145653076331, 'size': 0.9757056587393235}",T+1平仓,其他,1
2024-03-28,2024-03-28,000034,30.32,30.75,1.41,1.21,58.77197983933411,"{'trend': 0.7906176857219487, 'momentum': 0.24947236713302048, 'quality': -0.21172103154048907, 'sentiment': 1.9568589702563253, 'valuation': 0.5627640877410944, 'liquidity': 0.7071395477628073, 'size': -0.2112630958044379}",T+1平仓,其他,1
2024-03-29,2024-03-29,000030,5.54,5.26,-5.0,-5.2,57.58753822896027,"{'trend': 0.9956132495574602, 'momentum': 0.8136262825055032, 'quality': -0.2197977474035374, 'sentiment': 0.7517489335489705, 'valuation': 1.0145887362453558, 'liquidity': -0.6056044372380547, 'size': 0.6906995335193326}",止损(-5%),其他,1
2024-04-01,2024-04-01,000026,10.75,10.75,0.03,-0.17,55.17057027721737,"{'trend': 1.278643818916779, 'momentum': 1.5233594844090128, 'quality': -0.24484608396638327, 'sentiment': 0.24141942853582285, 'valuation': -0.07120696273276789, 'liquidity': -0.4802008881661273, 'size': 0.4525810718758687}",T+1平仓,其他,1
2024-04-02,2024-04-02,000037,9.06,9.24,1.97,1.77,61.73943564138728,"{'trend': 2.06740671734947, 'momentum': 1.8371627594332265, 'quality': -0.2355004364292332, 'sentiment': 2.434747339349188, 'valuation': -1.104081475684871, 'liquidity': 1.2534349211692257, 'size': -0.495306726997595}",T+1平仓,其他,1
2024-04-03,2024-04-03,000027,7.37,7.21,-2.18,-2.38,57.279914301868445,"{'trend': 1.1019264315019222, 'momentum': 1.292755096718057, 'quality': -0.2229907883201243, 'sentiment': 0.24502744243734623, 'valuation': 1.0618628520843985, 'liquidity': -0.8921423662807942, 'size': 0.8602914355228515}",T+1平仓,其他,1
2024-04-08,2024-04-08,000025,16.04,17.06,6.33,6.13,59.304519917811135,"{'trend': 0.1654090342523503, 'momentum': 0.38937408660681067, 'quality': -0.21172103154048907, 'sentiment': 2.6749861327303988, 'valuation': 0.5678777158513993, 'liquidity': 0.36649098345493547, 'size': -0.01803988881338943}",T+1平仓,其他,1
2024-04-09,2024-04-09,000030,5.31,5.29,-0.31,-0.51,57.83581792470154,"{'trend': 1.1020865493764787, 'momentum': 0.9250545293347971, 'quality': -0.19877695968033987, 'sentiment': 0.30447572476401863, 'valuation': 1.2489608823518292, 'liquidity': -0.9839903436010717, 'size': 1.2033635791113138}",T+1平仓,其他,1
2024-04-10,2024-04-10,000037,9.81,10.11,3.07,2.87,58.962943460164475,"{'trend': 1.9606894970507849, 'momentum': 2.1434853777120906, 'quality': -0.24707342923203998, 'sentiment': 1.4094620435565697, 'valuation': -1.2177876346506695, 'liquidity': 2.4882453974557515, 'size': -2.3067405041387334}",T+1平仓,其他,1
2024-04-11,2024-04-11,000026,10.79,10.64,-1.35,-1.55,55.24755529259537,"{'trend': 1.4969925136143802, 'momentum': 1.2378127591669632, 'quality': -0.21068792438814196, 'sentiment': -0.007275221262522494, 'valuation': 0.035327175813168174, 'liquidity': -0.41287438868006204, 'size': 0.4364045285680763}",T+1平仓,其他,1
2024-04-12,2024-04-12,000025,17.18,17.11,-0.39,-0.59,59.21245207827488,"{'trend': 0.8390004909139556, 'momentum': 0.7341830817636525, 'quality': -0.21213198676739345, 'sentiment': 1.7651469392421497, 'valuation': 0.5342509970623153, 'liquidity': 0.9876823576125706, 'size': -0.6574847455959008}",T+1平仓,其他,1
