entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry
2026-01-13,2026-01-13,000007,12.0,11.55,-3.74,-3.94,57.67923903847164,"{'trend': 1.4605056303376436, 'momentum': 1.0052098549154946, 'quality': -0.0198916697560492, 'sentiment': -0.01299468336322201, 'valuation': 0.044703098095280024, 'liquidity': 0.6605358176322723}",T+1平仓,其他
2026-01-13,2026-01-13,000021,27.8,26.41,-5.02,-5.22,56.94045332256611,"{'trend': 0.9426638861586044, 'momentum': 0.8369576933177264, 'quality': -0.1496903652533753, 'sentiment': -0.8154078632895819, 'valuation': 0.8156555409130662, 'liquidity': 1.377386013031931}",T+1平仓,其他
2026-01-14,2026-01-14,000036,7.01,6.84,-2.32,-2.52,64.48905735113965,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.17701074724890398, 'sentiment': -0.3399509957988856, 'valuation': -1.2228289396930376, 'liquidity': 2.4689774350086426}",T+1平仓,其他
2026-01-14,2026-01-14,000032,22.71,23.0,1.31,1.11,58.91600089577388,"{'trend': 1.199803035336126, 'momentum': 0.9384268164967862, 'quality': -0.15877952785479008, 'sentiment': 2.8946845099203924, 'valuation': -1.190628698495362, 'liquidity': 0.4935439895848718}",T+1平仓,其他
2026-01-15,2026-01-15,000021,26.89,27.79,3.34,3.14,64.6286894446604,"{'trend': 0.8864690698711523, 'momentum': 0.9473501923303765, 'quality': -0.1451061133092046, 'sentiment': 2.601856035222865, 'valuation': 0.7348287300296256, 'liquidity': 1.4762669152605838}",T+1平仓,其他
2026-01-15,2026-01-15,000036,7.07,6.71,-5.0,-5.2,62.33696358205729,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.17701074724890398, 'sentiment': -1.1332310658985838, 'valuation': -1.2228289396930376, 'liquidity': 2.2241683607699483}",止损(-5%),其他
2026-01-15,2026-01-15,000048,14.97,14.69,-1.91,-2.11,58.520047556521774,"{'trend': 1.2066014819425999, 'momentum': 0.9152664875590459, 'quality': -0.09953024559178979, 'sentiment': 0.13587983549914318, 'valuation': 1.08783218346994, 'liquidity': -0.2864946198809313}",T+1平仓,其他
2026-01-16,2026-01-16,000021,29.12,29.46,1.19,0.99,69.90404083702366,"{'trend': 1.0378534628316032, 'momentum': 1.6004192690034236, 'quality': -0.1496903652533753, 'sentiment': 3.0, 'valuation': 0.8156555409130662, 'liquidity': 2.9610943775280516}",T+1平仓,其他
2026-01-16,2026-01-16,000036,6.91,6.66,-3.61,-3.81,63.63917412413235,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.18102211873684082, 'sentiment': -0.11277807986154322, 'valuation': -1.1907204222330507, 'liquidity': 1.505434951153666}",T+1平仓,其他
2026-01-22,2026-01-22,000036,6.37,6.72,5.43,5.23,70.1859988308839,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.19504231618148643, 'sentiment': 3.0, 'valuation': -1.2228289396930376, 'liquidity': 1.2930750656716568}",T+1平仓,其他
2026-01-22,2026-01-22,000021,33.91,32.21,-5.0,-5.2,61.925248424019046,"{'trend': 1.3668325573903186, 'momentum': 2.267048356571438, 'quality': -0.1635470209088064, 'sentiment': -1.551090301244493, 'valuation': 0.7348287300296255, 'liquidity': 3.0}",止损(-5%),其他
2026-01-23,2026-01-23,000048,18.05,18.77,4.02,3.82,72.39806532772575,"{'trend': 1.3630710318559556, 'momentum': 2.6926475863362804, 'quality': -0.11892128769163525, 'sentiment': 2.5684884141806745, 'valuation': 1.2583935117133214, 'liquidity': 2.035253039286448}",T+1平仓,其他
2026-01-23,2026-01-23,000036,6.97,6.91,-0.76,-0.96,64.160444898001,"{'trend': 3.0, 'momentum': 2.4499295616961145, 'quality': -0.19499440431860998, 'sentiment': 1.1670335328019363, 'valuation': -1.1525543021591549, 'liquidity': 0.709949369875787}",T+1平仓,其他
2026-01-23,2026-01-23,000021,31.44,30.23,-3.84,-4.04,59.773291486610354,"{'trend': 1.730926190452492, 'momentum': 2.099055722698321, 'quality': -0.1636692981728519, 'sentiment': -2.5978881017216597, 'valuation': 0.8900690976182077, 'liquidity': 2.3491242464795494}",T+1平仓,其他
2026-01-26,2026-01-26,000048,19.52,19.05,-2.43,-2.63,69.51054517509934,"{'trend': 1.904949488670325, 'momentum': 3.0, 'quality': -0.09953024559178991, 'sentiment': 0.97556998741178, 'valuation': 1.08783218346994, 'liquidity': 1.2571722825182716}",T+1平仓,其他
2026-01-26,2026-01-26,000021,30.86,29.31,-5.0,-5.2,62.32288384346897,"{'trend': 2.038983517042983, 'momentum': 1.916312542942238, 'quality': -0.14510611330920473, 'sentiment': -1.0197296865029843, 'valuation': 0.7348287300296256, 'liquidity': 1.6129693434602912}",止损(-5%),其他
