date,rank,code,score,buy,sell,return,factors,ma20,ret_20d
2026-03-24,2,000065,37,13.5,14.22,5.33,"{'trend': 10, 'momentum': 10, 'quality': 5, 'sentiment': 10, 'value': 2}",12.96,9.58
2026-03-24,3,600985,37,14.0,14.15,1.07,"{'trend': 10, 'momentum': 10, 'quality': 5, 'sentiment': 10, 'value': 2}",13.66,8.04
2026-03-25,1,600132,42,57.5,57.39,-0.19,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",56.55,5.01
2026-03-25,2,600639,42,10.91,10.91,0.0,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.65,2.25
2026-03-25,3,600876,42,11.22,11.0,-1.96,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.75,1.44
2026-03-26,1,601033,42,16.5,16.41,-0.55,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",15.81,8.74
2026-03-26,2,603071,42,14.86,15.06,1.35,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.31,6.46
2026-03-26,3,603396,42,41.21,40.99,-0.53,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",39.72,0.24
2026-03-27,1,600250,37,12.21,12.91,5.73,"{'trend': 10, 'momentum': 10, 'quality': 5, 'sentiment': 10, 'value': 2}",11.37,10.06
2026-03-27,2,600639,37,10.95,10.95,0.0,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 5, 'value': 2}",10.67,3.66
2026-03-27,3,603071,37,14.95,14.9,-0.33,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 5, 'value': 2}",14.35,7.04
2026-03-30,1,600062,42,18.37,18.65,1.52,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",18.16,0.49
2026-03-30,2,600535,42,14.43,14.36,-0.49,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",14.09,0.35
2026-03-30,3,600872,42,18.7,19.14,2.35,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",18.5,0.69
2026-03-31,1,600976,42,33.93,33.61,-0.94,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",31.94,5.9
2026-03-31,2,603565,42,11.52,11.47,-0.43,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",11.05,4.25
2026-03-31,3,002905,42,10.72,10.71,-0.09,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",10.18,3.76
2026-04-01,1,000550,42,18.4,18.65,1.36,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",17.7,1.39
2026-04-01,2,002352,42,38.42,38.09,-0.86,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",36.89,2.73
2026-04-01,3,002508,42,21.27,20.9,-1.74,"{'trend': 10, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",20.42,3.28
2026-04-02,1,600600,47,63.02,63.99,1.54,"{'trend': 15, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",62.55,3.06
2026-04-02,2,000028,42,26.6,27.0,1.5,"{'trend': 15, 'momentum': 10, 'quality': 10, 'sentiment': 5, 'value': 2}",25.65,4.8
2026-04-02,3,600054,42,13.48,13.18,-2.23,"{'trend': 15, 'momentum': 10, 'quality': 5, 'sentiment': 10, 'value': 2}",13.11,8.01
2026-04-03,1,000028,47,26.7,26.4,-1.12,"{'trend': 15, 'momentum': 10, 'quality': 10, 'sentiment': 10, 'value': 2}",25.71,7.1
2026-04-03,2,600132,42,58.33,57.26,-1.83,"{'trend': 15, 'momentum': 10, 'quality': 10, 'sentiment': 5, 'value': 2}",57.1,3.46
2026-04-03,3,600285,42,22.44,21.99,-2.01,"{'trend': 15, 'momentum': 10, 'quality': 10, 'sentiment': 5, 'value': 2}",21.94,5.53
