entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason
2026-03-25,2026-03-25,300720,60.56,71.82,18.59,18.39,78.03474844909316,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.5294404763005185, 'sentiment': 3.0, 'valuation': -0.3437718086165766, 'liquidity': 1.318494964027552}",T+1平仓
2026-03-25,2026-03-25,000601,8.61,8.86,2.93,2.73,74.61330408023956,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.4580255145714223, 'sentiment': 3.0, 'valuation': -0.31418799118932306, 'liquidity': 2.9532963983478657}",T+1平仓
2026-03-25,2026-03-25,600396,8.02,8.33,3.91,3.71,73.10333016083793,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5532537034527979, 'sentiment': 3.0, 'valuation': -0.3437718086165766, 'liquidity': 2.1962711313640364}",T+1平仓
2026-03-25,2026-03-25,000539,6.93,7.45,7.59,7.39,72.52543585849654,"{'trend': 2.552442793259555, 'momentum': 3.0, 'quality': -0.4970739925501423, 'sentiment': 3.0, 'valuation': 0.11175521189165051, 'liquidity': 1.6827092137955588}",T+1平仓
2026-03-25,2026-03-25,002730,23.3,25.83,10.86,10.66,72.15687541929536,"{'trend': 2.996672476549219, 'momentum': 3.0, 'quality': -0.6819872318926569, 'sentiment': 3.0, 'valuation': -0.20241745603873887, 'liquidity': 1.5467147022945924}",T+1平仓
2026-03-26,2026-03-26,600722,17.0,17.83,4.91,4.71,73.57927110666185,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.485926844195206, 'sentiment': 2.7384631707206553, 'valuation': -0.3878034351189091, 'liquidity': 2.859279873655153}",T+1平仓
2026-03-26,2026-03-26,603538,33.7,35.58,5.58,5.38,73.53265154694736,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6201352168330934, 'sentiment': 3.0, 'valuation': -0.12340087446731142, 'liquidity': 2.17550654723238}",T+1平仓
2026-03-26,2026-03-26,603687,15.24,16.48,8.19,7.99,73.10529749421471,"{'trend': 2.4845639710345293, 'momentum': 2.993692168362841, 'quality': -0.6444915647803792, 'sentiment': 3.0, 'valuation': -0.02322480124229335, 'liquidity': 2.779298200241832}",T+1平仓
2026-03-26,2026-03-26,688307,69.1,76.17,10.24,10.04,72.84204011168123,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6320648843110409, 'sentiment': 3.0, 'valuation': -0.32164311490038316, 'liquidity': 2.135442739543669}",T+1平仓
2026-03-26,2026-03-26,600396,8.97,8.52,-5.0,-5.2,71.41920414238324,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5706771084791652, 'sentiment': 3.0, 'valuation': -0.3878034351189091, 'liquidity': 1.196430515451641}",止损(-5%)
2026-03-27,2026-03-27,600982,6.44,7.34,14.08,13.88,76.24462910611275,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5070622313047356, 'sentiment': 3.0, 'valuation': 0.25527193334232084, 'liquidity': 3.0}",T+1平仓
2026-03-27,2026-03-27,605299,17.03,16.18,-5.0,-5.2,74.44305648160281,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6320234964697559, 'sentiment': 3.0, 'valuation': -0.10637213299116528, 'liquidity': 2.7721622466570497}",止损(-5%)
2026-03-27,2026-03-27,001896,14.99,16.52,10.19,9.99,73.99720345795038,"{'trend': 3.0, 'momentum': 2.5507222036316453, 'quality': -0.4769333866108855, 'sentiment': 3.0, 'valuation': 0.10903042164334428, 'liquidity': 2.4078582631211956}",T+1平仓
2026-03-27,2026-03-27,603538,37.98,39.14,3.06,2.86,73.83598049153991,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6339991177367147, 'sentiment': 3.0, 'valuation': -0.07183778175825556, 'liquidity': 2.3023274600165533}",T+1平仓
2026-03-27,2026-03-27,600666,5.33,6.07,14.06,13.86,73.58932601042686,"{'trend': 2.608892436343547, 'momentum': 3.0, 'quality': -0.575222996591441, 'sentiment': 3.0, 'valuation': -0.17056076960981792, 'liquidity': 3.0}",T+1平仓
2026-03-30,2026-03-30,002432,68.02,75.42,10.89,10.69,74.43753595090887,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6453957155085508, 'sentiment': 3.0, 'valuation': 0.2745894409320094, 'liquidity': 2.0333031830923276}",T+1平仓
2026-03-30,2026-03-30,603538,43.14,43.06,-0.2,-0.4,73.1281779296537,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6091236900987465, 'sentiment': 3.0, 'valuation': -0.10045270361680879, 'liquidity': 1.8379380738669084}",T+1平仓
2026-03-30,2026-03-30,002980,39.84,43.74,9.78,9.58,72.37167357484708,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.8164989171568254, 'sentiment': 3.0, 'valuation': -0.12655493470966783, 'liquidity': 1.8005567536310358}",T+1平仓
2026-03-30,2026-03-30,001400,146.7,163.94,11.75,11.55,71.75110845001144,"{'trend': 2.683502050881891, 'momentum': 2.3534587337938078, 'quality': -0.6861703843049246, 'sentiment': 3.0, 'valuation': -0.09510121971036689, 'liquidity': 2.666089972250388}",T+1平仓
2026-03-30,2026-03-30,003036,24.21,27.07,11.81,11.61,71.64403409489665,"{'trend': 2.6989178228719615, 'momentum': 2.9553338091219272, 'quality': -0.5523393699075456, 'sentiment': 3.0, 'valuation': -0.1878797320489974, 'liquidity': 1.578957907750704}",T+1平仓
2026-03-31,2026-03-31,605299,19.45,21.31,9.56,9.36,74.10323097407154,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6195402412040448, 'sentiment': 3.0, 'valuation': -0.14880609006237955, 'liquidity': 2.605513311913872}",T+1平仓
2026-03-31,2026-03-31,002730,24.34,26.47,8.75,8.55,72.47676270856152,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6988896064909136, 'sentiment': 3.0, 'valuation': -0.20917405820390228, 'liquidity': 1.8006358017639774}",T+1平仓
2026-03-31,2026-03-31,002580,16.14,17.59,9.02,8.82,71.43086891118776,"{'trend': 2.072547864140491, 'momentum': 2.269829679292679, 'quality': -0.5798656178848435, 'sentiment': 3.0, 'valuation': 0.1985684646707639, 'liquidity': 3.0}",T+1平仓
2026-03-31,2026-03-31,603016,45.65,48.08,5.34,5.14,70.23526079461513,"{'trend': 2.622435962323195, 'momentum': 3.0, 'quality': -0.6264833121497516, 'sentiment': 3.0, 'valuation': -0.18677846225051134, 'liquidity': 0.8718254872308889}",T+1平仓
2026-03-31,2026-03-31,000037,11.61,13.01,12.02,11.82,69.58491103406091,"{'trend': 2.11169953907722, 'momentum': 2.208684849761651, 'quality': -0.6857473904826399, 'sentiment': 3.0, 'valuation': -0.304162107895515, 'liquidity': 3.0}",T+1平仓
2026-04-01,2026-04-01,002432,76.96,80.86,5.07,4.87,74.92071822445476,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6686905708777785, 'sentiment': 3.0, 'valuation': 0.2457406483548184, 'liquidity': 2.4597119946824226}",T+1平仓
2026-04-01,2026-04-01,600666,5.93,6.26,5.7,5.5,74.7584250226981,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.5744782738889881, 'sentiment': 3.0, 'valuation': -0.17271338521164656, 'liquidity': 3.0}",T+1平仓
2026-04-01,2026-04-01,603687,15.3,16.37,7.05,6.85,74.43731394548348,"{'trend': 3.0, 'momentum': 3.0, 'quality': -0.6571292664842071, 'sentiment': 3.0, 'valuation': 0.0062397919122279865, 'liquidity': 2.593321579466272}",T+1平仓
