date,code,market_state,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2024-03-13,600000,oscillation,72.68059748206166,100.0,72.55601504046524,49.14396887159531,6.5909,6.6377,0.004300699449240511
2024-03-26,600000,oscillation,72.67898930218873,100.0,72.09063782545144,49.78906425312289,6.6939,6.6752,-0.0055935881922347126
2024-03-08,601006,oscillation,72.51455210829523,100.0,71.18352080132638,50.401279311324,6.6732,6.5117,-0.027001282742911845
2024-03-18,601128,oscillation,72.28312623256254,100.0,65.48186919035257,57.457888063756556,5.2465,5.2922,0.005910568950729072
2024-03-05,601006,oscillation,72.2612324590552,100.0,71.74902873471643,48.596289607617784,6.7628,6.6732,-0.016048950138995797
2024-02-29,601006,oscillation,72.25448559889773,100.0,71.74222948576507,48.57882111551983,6.6911,6.7628,0.00791572686105435
2024-03-26,601868,oscillation,72.18218384277117,100.0,69.03313992832871,52.08233947142449,2.0671,2.0574,-0.0074925644622901855
2024-03-18,601229,oscillation,72.00545088699727,100.0,72.00580200098156,47.21368074661488,5.6644,5.6644,-0.0028
2024-03-05,601229,oscillation,71.98113387679093,100.0,73.28443612533466,45.326324931695225,5.6989,5.6989,-0.0028
2024-03-13,601818,oscillation,71.90698224957077,100.0,71.078835908965,48.11755872573207,2.832,2.8584,0.006522033898305156
2024-03-18,600585,oscillation,71.89610242061224,100.0,66.32993397733219,54.722502114183925,21.5309,20.8402,-0.03487947647334759
2024-03-08,601229,oscillation,71.87730878310784,100.0,73.8541225678848,44.113463537392626,5.6989,5.5525,-0.028489168085069023
2024-03-13,601916,oscillation,71.86933720964328,100.0,73.1717655540705,45.036877062874375,2.5353,2.5804,0.01498882183568025
2024-03-05,601868,oscillation,71.6893286406047,100.0,68.61885611750584,50.690915997910636,2.0962,2.1059,0.0018274210476099807
2024-02-29,601229,oscillation,71.64467089208397,100.0,72.8963950479816,44.52373050116162,5.6214,5.6989,0.010986601202547349
2024-03-26,600016,oscillation,71.64122379980589,100.0,68.17866291471334,51.114767118624826,3.4992,3.5341,0.007173708276177391
2024-03-05,601916,oscillation,71.63941169075575,100.0,71.32740383546924,46.69928139336607,2.5173,2.5263,0.0007752592062924154
2024-02-29,600226,oscillation,71.62409682875234,100.0,61.69809978282985,60.11904761904761,2.35,2.48,0.05251914893617017
2024-02-21,601229,oscillation,71.559770503121,100.0,74.73257866093316,41.613471887177596,5.6903,5.587,-0.020953700156406508
2024-02-21,601006,oscillation,71.49506018179096,100.0,73.34199348808033,43.30144984385138,6.9243,6.8167,-0.018339476914633928
2024-02-26,600226,oscillation,71.44302580690669,100.0,63.34677789599884,57.086614173228355,2.42,2.35,-0.03172561983471068
2024-02-26,601006,oscillation,71.4391710511168,100.0,72.64798345560303,44.049507366622954,6.8167,6.6911,-0.021225337773409476
2024-02-26,601229,oscillation,71.35472769906411,100.0,72.62939084956236,43.73776360686917,5.587,5.6214,0.003357150528011572
2024-03-08,600000,oscillation,71.12456591725027,100.0,72.5410141696543,42.94084383148503,6.6658,6.5909,-0.014036460739896115
2024-02-21,600226,oscillation,71.11769405668093,100.0,63.2442303369879,55.92885375494069,2.43,2.42,-0.006915226337448654
2024-02-21,002259,oscillation,71.07939409625665,100.0,65.42753082314155,52.7190332326284,3.25,3.41,0.046430769230769275
2024-03-05,601818,oscillation,70.97373893628186,100.0,70.44570191502402,45.27097306409384,2.876,2.8584,-0.008919610570236384
2024-03-08,601818,oscillation,70.75045092486218,100.0,71.25173881660984,43.24936935619493,2.8584,2.832,-0.012035936188077316
2024-02-21,601916,oscillation,70.65691306789861,100.0,73.0321194304183,40.3826850690088,2.5443,2.4902,-0.024063215815744842
2024-03-08,601916,oscillation,70.57944367876095,100.0,71.5796605107456,42.106249999999996,2.5263,2.5353,0.0007625222657641202
2024-02-29,601916,oscillation,70.46043383752973,100.0,71.28697661244274,42.039968092699084,2.5083,2.5173,0.0007880875493361623
2024-02-26,601916,oscillation,70.34764210982544,100.0,71.43483484822279,41.38179965178989,2.4902,2.5083,0.004468492490563008
2024-02-29,600000,oscillation,70.0678369119316,100.0,71.50470800052496,40.164756446991404,6.6939,6.7033,-0.0013957364167377152
2024-02-26,600900,oscillation,69.87231443663443,100.0,70.5317919190587,40.744749059855494,23.3482,23.4417,0.0012045913603619279
