date,code,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2024-04-16,000776,78.61143900851194,100.0,70.61840085112861,62.983329035389765,12.0434,12.1755,0.008168663334274327
2024-08-16,601006,78.57484716266315,100.0,79.98104400091844,51.938272541138986,6.5083,6.442,-0.012986991994837365
2024-09-06,000778,78.55416225638618,100.0,70.77851215820668,62.60561000337952,3.2524,3.0833,-0.05479237486164071
2024-09-06,688623,78.4957228178843,100.0,67.05627740658187,66.75341908526882,44.986,45.2009,0.0019770417463210797
2024-06-27,600221,78.4310920962933,100.0,54.95431944092143,80.65693430656934,1.09,1.15,0.052245871559632874
2024-08-29,688623,78.41165969357128,100.0,67.75900961088247,65.65335443254136,47.2035,46.6662,-0.014182630525278735
2024-04-01,600845,78.3785533386652,100.0,54.90491178848275,80.53944737565413,29.5547,29.1574,-0.016242870338727896
2024-06-24,601916,78.36228704620441,100.0,70.0743670320765,62.78752861659217,2.5173,2.6113,0.03454159615461005
2024-06-19,002936,78.33783761930397,100.0,72.47636177719633,59.90370332428418,1.8234,1.7243,-0.05714901831742896
2024-06-05,601880,78.30658279881233,100.0,69.35105984695645,63.44570617459192,1.2827,1.2827,-0.0028
2024-09-06,601158,78.30648370780546,100.0,65.61213922666185,67.80744992824606,4.2373,4.0535,-0.046176678545300213
2024-04-01,601880,78.2743544926663,100.0,78.119366278347,53.10858765081619,1.3798,1.3798,-0.0028
2024-08-16,600016,78.25106692854992,100.0,69.86092476559833,62.66581086863501,3.2095,3.2095,-0.0028
2024-06-19,600519,78.23781203612505,100.0,67.64096294577485,65.21158335034619,1425.213,1401.9975,-0.01908914414897985
2024-06-27,000044,78.22775390582463,100.0,74.95714040179143,56.642515883992104,3426.3274,3472.4438,0.010659425973127927
2024-09-03,600170,78.2133064145662,100.0,62.564739460998666,71.05215867738893,1.9135,1.894,-0.012990749934674719
2024-08-13,601006,78.20642335895907,100.0,80.03036373006044,50.652653511459725,6.4988,6.5083,-0.0013381916661537416
2024-08-16,000044,78.19316733535968,100.0,74.37937492495531,57.20128703875106,3368.4836,3344.6161,-0.009885532493018472
2024-06-11,601880,78.17539242172404,100.0,67.38654745607599,65.30033604032484,1.2827,1.2827,-0.0028
2024-04-08,600064,78.151166449675,100.0,81.87130334921599,48.32070092483137,5.8168,5.8535,0.0035093109613534286
2024-09-06,600170,78.13580718949386,100.0,62.18383531402059,71.23821609862219,1.894,1.8452,-0.028565575501583926
2024-09-06,000900,78.120495136284,100.0,68.28907236439183,64.06439936248954,3.3548,3.2681,-0.02864356742577799
2024-04-16,601880,78.0430321772284,100.0,77.45844537709584,53.10858765081619,1.3798,1.3993,0.011332482968546219
