date,code,score,turnover_score,lowvol_score,reversal_score,entry_price,exit_price,net_return
2025-10-09,000101,84.7799585264555,100.0,99.64094066931952,49.685430973978896,250.2941,250.3605,-0.0025347120847034918
2025-10-30,000101,84.77797207056507,100.0,99.67430155487166,49.639888421199984,250.6478,250.7528,-0.0023810854912749355
2025-10-22,000101,84.77787550319587,100.0,99.66317316647209,49.652549649768766,250.4995,250.5788,-0.002483432501861324
2025-10-17,000101,84.77639079376864,100.0,99.65841741314,49.653148997232144,250.4112,250.4995,-0.0024473799893934304
2025-10-14,000101,84.77473176236346,100.0,99.6477532350093,49.66006043370067,250.3605,250.4112,-0.0025974920165121648
2025-11-04,000101,84.77471111477142,100.0,99.67546908638307,49.62765644845779,250.7528,250.7998,-0.0026125644060604825
2025-10-27,000101,84.77392161482712,100.0,99.66554657639303,49.63660104363187,250.5788,250.6478,-0.0025246375192155583
2025-12-24,000116,84.76966419764052,100.0,99.40385896903598,49.92771186159312,198.8836,198.985,-0.002290154039850383
2025-11-28,000116,84.73491069072742,100.0,99.2988977623662,49.93432157966416,198.7824,198.6744,-0.003343307657015933
2025-10-09,000116,84.71748842627947,100.0,99.21369843864305,49.975646575848046,198.3616,198.4204,-0.002503571659030826
2025-11-25,000116,84.71447785980035,100.0,99.30144586912085,49.86323935202688,198.8128,198.7824,-0.0029529076598690546
2025-10-14,000116,84.70321545491949,100.0,99.22829118922908,49.91104512896438,198.4204,198.4957,-0.0024205027305660176
2025-11-20,000116,84.69537064492718,100.0,99.30292210866808,49.79782635631116,198.8098,198.8128,-0.002784910200603721
2025-10-22,000116,84.6929648811736,100.0,99.26662152513146,49.83215782459194,198.5332,198.5944,-0.002491739215405717
2025-10-17,000116,84.6856829583447,100.0,99.24603799501135,49.83189886696912,198.4957,198.5332,-0.0026110790309311774
2025-10-27,000116,84.6828978828582,100.0,99.28344505861868,49.778973707805555,198.5944,198.6705,-0.0024168069190269375
